headline,type,year,news_desk_category,GPT_score,GPT_class
Mayflower and Its Vacant Lot to Be Sold,article,2004,home,0.2,balanced
Justice Dept. Takeover of Terror Prosecutions Concerns U.S. Attorney,article,2001,home,-0.5,balanced
Assisted Suicide Can Mask Incompetent Care,article,1997,media,-0.7,clickbait
Coach’s Plan to Rouse Ovechkin Produces Little,article,2011,sports,-0.3,clickbait
The Retro Experience,multimedia,2010,travel,0.5,clickbait
Food Notes,article,1993,lifestyle/living,0.2,balanced
An Alternative to Burial and Cremation Gains Popularity,article,2017,business/economy/financial,0.5,balanced
"In Yemen, Militants Are Increasingly Isolated ",article,2015,world/international/foreign,0.2,balanced
Political Memo; New Jersey Struggles to Change Its Campaign Finance Laws,article,2004,home,-0.5,balanced
"Suzanne Gallo, 46, a Designer Of Dance Company Costumes",article,2000,home,0.3,balanced
"The Alitos: Lost, or Found by Someone Else?",article,2006,opinion/editorial,0.2,clickbait
Hercules and Love Affair | Dance Floor Heroes,article,2008,fashion/style,0.6,balanced
There’s a Moon Out Tonight,article,2014,opinion/editorial,0.7,clickbait
Fight Against Mandates Gaining on Many Fronts,article,1995,home,0.2,clickbait
Medicare Slashes Star Ratings for Staffing at 1 in 11 Nursing Homes,article,2018,science/health,-0.7,balanced
New Jersey’s ‘Mutinous 33rd’,article,2013,uncategorized,0.0,clickbait
"And Then Steve Said, ‘Let There Be an iPhone’",article,2013,magazine,0.5,clickbait
New History of Woolworth Building,article,2008,uncategorized,0.2,balanced
"THE NEW SEASON/TELEVISION;
One Trial, Many Angles to Investigate",article,1995,sports,0.2,clickbait
"Paid Notice: Deaths  CARROLL, VERONICA AGNES (NEE CORKEY)",article,2001,lifestyle/living,-0.8,matter-of-fact
Do Tax Cuts Lead to Economic Growth?,article,2012,opinion/editorial,0.3,balanced
How the Turks Helped Their Enemies,article,1999,media,-0.3,clickbait
"Verizon Shuts Down SugarString, Site That Had Drawn Journalistic Criticism",article,2014,business/economy/financial,-0.5,balanced
Police Chief of a Fire Island Village Is Accused of Assaulting a Tourist,article,2007,entertainment,-0.7,clickbait
Woodstock Regeneration in Bethel Gets Some Critical Help,article,1994,home,0.5,balanced
A Cold War China Policy,article,2005,media,-0.3,balanced
"In Season of Returning, a Start-Up Tries to Find Homes for the Rejects ",article,2015,business/economy/financial,0.1,clickbait
"At These High-End Dinner Theaters, Classics Come With Crudités",article,2019,arts/culture,0.2,clickbait
